image_name;team_stats1;team_stats2
19.png;[LIVE]uResponsive 2175 5 2772[CG]ilyRusty 1950 8 2313Pale 1550 2 2853Alleviat 1350 4 1750Aufull 1300 7 1907;[yayo]xoVSAT 1975 5 2921Descennd 1325 2 2016youGettingGunned 1300 3 2451Clouti-_- 875 5 1515Charkyy-_- 650 1 1135
20.png;[LIVE]uResponsive 2175 5 2772[CG]ilyRusty 1950 8 2313Pale 1550 2 2853Alleviat 1350 4 1750Aufull 1300 7 1907;[yayo]xoVSAT 1975 5 2921Descennd 1325 2 2016youGettingGunned 1300 3 2451Clouti-_- 875 5 1515Charkyy-_- 650 1 1135
21.png;[CG]ilyRusty 2375 12 2831[LIVE]uResponsive 2275 7 3127Alleviat 1775 5 2396Pale 1750 3 3369Aufull 1625 9 2166;[yayo]xoVSAT 2200 7 3358Descennd 1725 3 2597youGettingGunned 1700 3 2985Clouti-_- 1250 8 1970Charkyy-_- 825 3 1503
22.png;[LIVE]uResponsive 2500 7 3341[CG]ilyRusty 2375 12 2831Aufull 1925 9 2552Alleviat 1775 5 2780Pale 1775 3 3497;[yayo]xoVSAT 2200 7 3442youGettingGunned 1850 3 3207Descennd 1825 3 2731Clouti-_- 1250 8 2110Charkyy-_- 1000 3 1653
23.png;[CG]ilyRusty 3175 14 3614[LIVE]uResponsive 2825 8 3998Aufull 2525 10 3013Alleviat 2000 5 3196Pale 1950 3 3788;Descennd 2650 9 3655[yayo]xoVSAT 2450 9 3870youGettingGunned 1950 4 3389Clouti-_- 1725 10 2774Charkyy-_- 1325 5 2117
24.png;[CG]ilyRusty 3175 14 3614[LIVE]uResponsive 2825 8 3998Aufull 2525 10 3013Alleviat 2000 5 3196Pale 1950 3 3788;Descennd 2650 9 3655[yayo]xoVSAT 2450 9 3870youGettingGunned 1950 4 3389Clouti-_- 1725 10 2774Charkyy-_- 1325 5 2117
25.png;[CG]ilyRusty 3175 14 3614[LIVE]uResponsive 2825 8 3998Aufull 2525 10 3013Alleviat 2000 5 3196Pale 1950 3 3788;Descennd 2650 9 3655[yayo]xoVSAT 2450 9 3870youGettingGunned 1950 4 3389Clouti-_- 1725 10 2774Charkyy-_- 1325 5 2117
26.png;[LIVE]uResponsive 3275 10 4448[CG]ilyRusty 3175 14 3614Aufull 2575 10 3013Alleviat 2000 5 3196Pale 1950 3 3788;Descennd 2725 9 3655[yayo]xoVSAT 2450 9 3870youGettingGunned 1950 4 3389Clouti-_- 1725 10 2774Charkyy-_- 1325 5 2117
27.png;[LIVE]uResponsive 3725 11 4942[CG]ilyRusty 3600 16 3823Aufull 3425 11 3520Pale 2750 4 4407Alleviat 2450 6 3500;Descennd 2750 9 3742[yayo]xoVSAT 2450 9 3996youGettingGunned 2150 4 3846Clouti-_- 1875 10 2898Charkyy-_- 1625 5 2451
28.png;[CG]ilyRusty 4450 17 4728[LIVE]uResponsive 3885 13 5306Aufull 3525 11 3810Pale 2975 5 4557Alleviat 2875 8 3704;Descennd 2850 9 4021[yayo]xoVSAT 2650 9 4319youGettingGunned 2150 4 4240Clouti-_- 1875 10 2898
29.png;[CG]ilyRusty 4450 17 4728[LIVE]uResponsive 3885 13 5306Aufull 3525 11 3810Pale 2975 5 4557Alleviat 2875 8 3704;Descennd 2850 9 4021[yayo]xoVSAT 2650 9 4319youGettingGunned 2150 4 4240Clouti-_- 1875 10 2898
30.png;[CG]ilyRusty 4450 17 4728[LIVE]uResponsive 3885 13 5306Aufull 3525 11 3810Pale 2975 5 4557Alleviat 2875 8 3704;Descennd 2850 9 4021[yayo]xoVSAT 2650 9 4319
31.png;Pale 0 0 0Aufull 0 0 0[LIVE]uResponsive 0 0 0[CG]ilyRusty 0 0 0Assassin_Gerryx 0 0 0;[Got7]immuley 0 0 0temp-359528 0 0 0cinxo- 0 0 0Artliay 0 0 0[kPoP]ElijahTheGeneral 0 0 0
32.png;Pale 0 0 0Aufull 0 0 0[LIVE]uResponsive 0 0 0[CG]ilyRusty 0 0 0Assassin_Gerryx 0 0 0;[Got7]immuley 0 0 0temp-359528 0 0 0cinxo- 0 0 0Artliay 0 0 0[kPoP]ElijahTheGeneral 0 0 0
33.png;Pale 550 10 638[LIVE]uResponsive 215 12 202[CG]ilyRusty 200 0 268Assassin_Gerryx 150 2 150Aufull 100 2 104;[kPoP]ElijahTheGeneral 200 0 436temp-359528 200 0 184cinxo- 100 0 294Artliay 0 0 184[Got7]immuley 0 0 34
34.png;Pale 750 11 727[CG]ilyRusty 300 3 456[LIVE]uResponsive 215 12 478Assassin_Gerryx 180 20 150Aufull 100 3 185;[kPoP]ElijahTheGeneral 500 0 831cinxo- 200 0 444temp-359528 200 0 184Artliay 175 0 334[Got7]immuley 100 0 274
35.png;Pale 975 14 1122[CG]ilyRusty 900 12 1316[LIVE]uResponsive 665 14 1188Aufull 300 3 699Assassin_Gerryx 295 27 332;[kPoP]ElijahTheGeneral 815 8 1536Artliay 475 0 614cinxo- 400 0 802[Got7]immuley 400 0 679temp-359528 400 7 436
36.png;Pale 975 14 1122[CG]ilyRusty 900 12 1316[LIVE]uResponsive 665 14 1188Aufull 300 3 699Assassin_Gerryx 295 27 332;[kPoP]ElijahTheGeneral 815 8 1536Artliay 475 0 614cinxo- 400 0 802[Got7]immuley 400 0 679temp-359528 400 7 436
37.png;Pale 975 14 1122[CG]ilyRusty 900 12 1316[LIVE]uResponsive 665 14 1188Aufull 300 3 699Assassin_Gerryx 295 27 332;[kPoP]ElijahTheGeneral 815 8 1536Artliay 475 0 614cinxo- 400 0 802[Got7]immuley 400 0 679temp-359528 400 7 436
38.png;Pale 1770 33 2008[LIVE]uResponsive 945 33 1559[CG]ilyRusty 925 19 1430Aufull 645 23 936Assassin_Gerryx 450 38 394;[kPoP]ElijahTheGeneral 1205 14 2138Artliay 575 0 931cinxo- 500 2 1048[Got7]immuley 500 0 831temp-359528 400 9 471
39.png;Pale 1770 33 2008[LIVE]uResponsive 945 33 1593[CG]ilyRusty 925 19 1430Aufull 645 23 936Assassin_Gerryx 450 38 394;[kPoP]ElijahTheGeneral 1205 14 2172Artliay 575 0 931cinxo- 500 2 1048[Got7]immuley 500 0 831temp-359528 400 9 471
40.png;Pale 1770 33 2008[LIVE]uResponsive 960 35 1627[CG]ilyRusty 925 19 1430Aufull 795 27 978Assassin_Gerryx 450 40 502;[kPoP]ElijahTheGeneral 1205 14 2244Artliay 700 0 1081cinxo- 500 2 1048[Got7]immuley 500 0 831temp-359528 400 9 471
41.png;Pale 1895 33 2158[LIVE]uResponsive 1085 36 1913[CG]ilyRusty 1025 19 1697Aufull 810 28 1170Assassin_Gerryx 500 40 564;[kPoP]ElijahTheGeneral 1305 14 2406temp-359528 875 9 739Artliay 700 0 1081[Got7]immuley 690 8 900cinxo- 675 2 1214
42.png;Pale 2220 41 2512Aufull 1425 42 1717[LIVE]uResponsive 1355 54 2301[CG]ilyRusty 1025 32 1838Assassin_Gerryx 695 64 715;[kPoP]ElijahTheGeneral 1405 14 2522Artliay 1025 0 1595temp-359528 935 10 771[Got7]immuley 690 8 984cinxo- 675 2 1214
43.png;Pale 2220 42 2512Aufull 1425 43 1717[LIVE]uResponsive 1355 54 2301[CG]ilyRusty 1025 32 1838Assassin_Gerryx 695 65 715;[kPoP]ElijahTheGeneral 1405 14 2522Artliay 1025 0 1595temp-359528 935 10 771[Got7]immuley 690 8 984cinxo- 675 2 1214
44.png;Pale 2500 51 2716Aufull 1440 50 1845[LIVE]uResponsive 1355 60 2429[CG]ilyRusty 1225 32 2234Assassin_Gerryx 795 71 860;[kPoP]ElijahTheGeneral 1455 14 2581Artliay 1250 0 1895cinxo- 950 2 1514temp-359528 935 14 803[Got7]immuley 825 11 1321
45.png;Pale 2500 51 2716Aufull 1440 50 1845[LIVE]uResponsive 1355 60 2429[CG]ilyRusty 1225 32 2234Assassin_Gerryx 795 71 860;[kPoP]ElijahTheGeneral 1455 14 2581Artliay 1250 0 1895cinxo- 950 2 1514temp-359528 935 14 803[Got7]immuley 825 11 1321
46.png;Pale 2500 51 2716Aufull 1440 50 1845[LIVE]uResponsive 1355 60 2429[CG]ilyRusty 1225 32 2234Assassin_Gerryx 795 71 860;[kPoP]ElijahTheGeneral 1455 14 2581Artliay 1250 0 1895cinxo- 950 2 1514temp-359528 935 14 803[Got7]immuley 825 11 1321
47.png;Pale 2600 52 2947Aufull 1540 52 1909[LIVE]uResponsive 1530 63 2579[CG]ilyRusty 1350 33 2384Assassin_Gerryx 895 71 946;[kPoP]ElijahTheGeneral 1455 16 2666Artliay 1250 0 1895cinxo- 950 2 1586[Got7]immuley 825 11 1321
48.png;Pale 3150 52 3754Aufull 2210 74 2290[LIVE]uResponsive 2030 68 3287[CG]ilyRusty 1415 46 2384Assassin_Gerryx 1220 80 1229;[kPoP]ElijahTheGeneral 1655 16 2960Artliay 1350 0 2517cinxo- 1050 2 2103[Got7]immuley 825 11 1462
49.png;Pale 3250 58 3872Aufull 2795 98 2783[LIVE]uResponsive 2180 77 3443[CG]ilyRusty 1630 82 2411Assassin_Gerryx 1570 87 1714;[kPoP]ElijahTheGeneral 2255 16 3619Artliay 1575 0 3012cinxo- 1150 2 2498[Got7]immuley 925 11 1705
50.png;[Solo]i--love--2k19 0 0 0[LIVE]uResponsive 0 0 0Ripbodys 0 0 0[CIGS]angrygnome44 0 0 0[CG]ilyRusty 0 0 0;[Xim4]ChronicTavon 0 0 0[KOBE]StafaBeams 0 0 0[U4ss]FuEeGo_o 0 0 0[7]easewin 0 0 0Jarfull 0 0 0
51.png;[Solo]i--love--2k19 0 0 0[LIVE]uResponsive 0 0 0Ripbodys 0 0 0[CIGS]angrygnome44 0 0 0[CG]ilyRusty 0 0 0;[Xim4]ChronicTavon 0 0 0[KOBE]StafaBeams 0 0 0[U4ss]FuEeGo_o 0 0 0[7]easewin 0 0 0Jarfull 0 0 0
52.png;[CIGS]angrygnome44 0 0 0[LIVE]uResponsive 0 0 0Ripbodys 0 0 0[CG]ilyRusty 0 0 0;[Xim4]ChronicTavon 0 0 0[KOBE]StafaBeams 0 0 0[U4ss]FuEeGo_o 0 0 0[7]easewin 0 0 0Jarfull 0 0 0
53.png;[CIGS]angrygnome44 0 0 0[LIVE]uResponsive 0 0 0Ripbodys 0 0 0[CG]ilyRusty 0 0 0;[Xim4]ChronicTavon 0 0 0[KOBE]StafaBeams 0 0 0[U4ss]FuEeGo_o 0 0 0[7]easewin 0 0 0Jarfull 0 0 0
54.png;[CIGS]angrygnome44 0 0 0[LIVE]uResponsive 0 0 0Ripbodys 0 0 0[CG]ilyRusty 0 0 0;[Xim4]ChronicTavon 0 0 0[KOBE]StafaBeams 0 0 0[U4ss]FuEeGo_o 0 0 0[7]easewin 0 0 0Jarfull 0 0 0
55.png;[CIGS]angrygnome44 0 0 0[LIVE]uResponsive 0 0 0Ripbodys 0 0 0[CG]ilyRusty 0 0 0;[Xim4]ChronicTavon 0 0 0[KOBE]StafaBeams 0 0 0[U4ss]FuEeGo_o 0 0 0[7]easewin 0 0 0Jarfull 0 0 0
56.png;[CIGS]angrygnome44 0 0 0[LIVE]uResponsive 0 0 0Ripbodys 0 0 0[CG]ilyRusty 0 0 0;[Xim4]ChronicTavon 0 0 0[KOBE]StafaBeams 0 0 0[U4ss]FuEeGo_o 0 0 0[7]easewin 0 0 0Jarfull 0 0 0
57.png;[LIVE]uResponsive 700 4 610Ripbodys 450 2 182[CG]ilyRusty 325 2 348[CIGS]angrygnome44 200 1 135;Jarfull 100 0 185[7]easewin 200 0 162[KOBE]StafaBeams 100 0 172[Xim4]ChronicTavon 0 0 140[U4ss]FuEeGo_o 0 0 72
58.png;[LIVE]uResponsive 800 4 733Ripbodys 450 2 182[CG]ilyRusty 325 2 348[CIGS]angrygnome44 200 1 135;[7]easewin 200 0 162[KOBE]StafaBeams 100 0 199Jarfull 100 0 185[Xim4]ChronicTavon 0 0 140[U4ss]FuEeGo_o 0 0 72
59.png;[LIVE]uResponsive 800 4 733Ripbodys 450 2 182[CG]ilyRusty 325 2 348[CIGS]angrygnome44 300 1 180;[7]easewin 200 0 162[KOBE]StafaBeams 100 0 199Jarfull 100 0 185[Xim4]ChronicTavon 0 0 140[U4ss]FuEeGo_o 0 0 72
60.png;[LIVE]uResponsive 900 4 991Ripbodys 675 2 423[CG]ilyRusty 425 2 524[CIGS]angrygnome44 400 1 330;Jarfull 425 1 608[U4ss]FuEeGo_o 200 0 408[7]easewin 200 0 162[KOBE]StafaBeams 100 0 263
61.png;[LIVE]uResponsive 900 4 991Ripbodys 675 2 423[CG]ilyRusty 425 2 524[CIGS]angrygnome44 400 1 330;Jarfull 425 1 608[U4ss]FuEeGo_o 200 0 408[7]easewin 200 0 162[KOBE]StafaBeams 100 0 263
62.png;[LIVE]uResponsive 900 4 991Ripbodys 675 2 423[CG]ilyRusty 425 2 524[CIGS]angrygnome44 400 1 330;Jarfull 425 1 608[U4ss]FuEeGo_o 200 0 408[7]easewin 200 0 162[KOBE]StafaBeams 100 0 263
63.png;[LIVE]uResponsive 1025 4 1206Ripbodys 700 2 555[CIGS]angrygnome44 625 1 576[CG]ilyRusty 425 2 580;Jarfull 625 1 910[U4ss]FuEeGo_o 350 0 771[KOBE]StafaBeams 200 0 413[7]easewin 200 0 364
64.png;[LIVE]uResponsive 1025 4 1206Ripbodys 700 2 555[CIGS]angrygnome44 625 1 576[CG]ilyRusty 425 2 580;Jarfull 625 1 910[U4ss]FuEeGo_o 350 0 771[KOBE]StafaBeams 200 0 413[7]easewin 200 0 364
65.png;[LIVE]uResponsive 1125 4 1356Ripbodys 700 2 555[CIGS]angrygnome44 625 1 576[CG]ilyRusty 425 2 580;Jarfull 625 1 910[U4ss]FuEeGo_o 350 0 771[KOBE]StafaBeams 200 0 413[7]easewin 200 0 364
66.png;[LIVE]uResponsive 1275 4 1475Ripbodys 750 2 555[CIGS]angrygnome44 625 1 667[CG]ilyRusty 425 2 662;Jarfull 725 2 950[KOBE]StafaBeams 500 3 625[U4ss]FuEeGo_o 450 1 957[7]easewin 300 1 514
67.png;[LIVE]uResponsive 1275 4 1475Ripbodys 750 2 555[CIGS]angrygnome44 625 1 667[CG]ilyRusty 425 2 662;Jarfull 725 2 950[KOBE]StafaBeams 500 3 625[U4ss]FuEeGo_o 450 1 957[7]easewin 300 1 514
68.png;[LIVE]uResponsive 1375 4 1765[CIGS]angrygnome44 850 2 1095Ripbodys 750 2 719[CG]ilyRusty 675 2 1050;[KOBE]StafaBeams 925 4 1226Jarfull 825 3 1136[U4ss]FuEeGo_o 550 2 1107[7]easewin 400 2 758
69.png;[LIVE]uResponsive 1500 4 1944[CG]ilyRusty 925 2 1332[CIGS]angrygnome44 850 2 1095Ripbodys 750 2 793;Jarfull 925 4 1286[KOBE]StafaBeams 925 4 1253[U4ss]FuEeGo_o 550 2 1159[7]easewin 500 2 1001
70.png;[LIVE]uResponsive 1600 4 2057[CIGS]angrygnome44 1075 3 1426[CG]ilyRusty 1025 2 1481Ripbodys 750 2 871;Jarfull 1225 5 1743[KOBE]StafaBeams 1125 4 1563[7]easewin 625 2 1151[U4ss]FuEeGo_o 550 2 1249
71.png;[LIVE]uResponsive 1600 4 2057[CIGS]angrygnome44 1175 3 1637[CG]ilyRusty 1025 2 1481Ripbodys 750 2 871;Jarfull 1225 5 1743[KOBE]StafaBeams 1125 4 1563[7]easewin 625 2 1151[U4ss]FuEeGo_o 550 2 1249
72.png;[LIVE]uResponsive 1600 4 2057[CIGS]angrygnome44 1175 3 1701[CG]ilyRusty 1025 2 1481Ripbodys 750 2 1035;[KOBE]StafaBeams 1500 6 1798Jarfull 1475 6 1982[U4ss]FuEeGo_o 800 4 1324[7]easewin 725 2 1301
73.png;[LIVE]uResponsive 1800 5 2291[CIGS]angrygnome44 1175 3 1782[CG]ilyRusty 1150 3 1723Ripbodys 775 2 1035;Jarfull 2025 9 2244[KOBE]StafaBeams 1950 9 1867[7]easewin 1065 4 1515[U4ss]FuEeGo_o 1000 5 1503
74.png;[LIVE]uResponsive 2175 6 2648[CIGS]angrygnome44 1550 4 2581[CG]ilyRusty 1375 4 2103;[KOBE]StafaBeams 2575 11 2636Jarfull 2525 10 2820[7]easewin 1490 5 1718[U4ss]FuEeGo_o 1400 6 2176
75.png;[LIVE]uResponsive 2175 6 2648[CIGS]angrygnome44 1550 4 2581[CG]ilyRusty 1375 4 2103;[KOBE]StafaBeams 2675 12 2636Jarfull 2625 11 2820[7]easewin 1590 6 1718[U4ss]FuEeGo_o 1500 7 2176
76.png;[LIVE]uResponsive 2400 6 3139[CG]ilyRusty 1675 4 2535[CIGS]angrygnome44 1650 4 2827;[KOBE]StafaBeams 2975 13 3242Jarfull 2785 12 3276[U4ss]FuEeGo_o 1600 7 2323[7]easewin 1590 6 1864
77.png;[LIVE]uResponsive 2825 7 3706[CIGS]angrygnome44 2100 5 3235[CG]ilyRusty 2075 5 2829;[KOBE]StafaBeams 3075 13 3340Jarfull 2885 12 3640[7]easewin 1690 6 1970[U4ss]FuEeGo_o 1600 7 2581
78.png;[LIVE]uResponsive 2825 7 3706[CIGS]angrygnome44 2200 5 3361[CG]ilyRusty 2075 5 2829;[KOBE]StafaBeams 3075 13 3340Jarfull 2885 12 3640[7]easewin 1690 6 2042[U4ss]FuEeGo_o 1600 7 2581
79.png;[LIVE]uResponsive 2825 7 3706[CIGS]angrygnome44 2200 5 3361[CG]ilyRusty 2075 5 2829;[KOBE]StafaBeams 3075 13 3340Jarfull 2885 12 3640[7]easewin 1690 6 2042[U4ss]FuEeGo_o 1600 7 2581
80.png;[LIVE]uResponsive 3100 8 4198[CIGS]angrygnome44 2200 5 3493[CG]ilyRusty 2075 5 2998;[KOBE]StafaBeams 3075 13 3471Jarfull 2885 12 3897[7]easewin 2220 7 2437[U4ss]FuEeGo_o 1700 7 2703
